dataset,views,classes,dims,n_train,n_val,n_test,oof_reliability,train_loss,test_loss,test_acc,last_model_path,best_epoch,best_val_acc,best_test_loss,best_test_acc,best_model_path,elapsed_sec,model,status,error,uncertainty_auroc
100Leaves,3.0,100.0,"[64, 64, 64]",1280.0,192.0,320.0,"{0: 0.09296874701976776, 1: 0.01015624962747097, 2: 0.11953125149011612}",20.312536875406902,20.35404682159424,0.75,checkpoints\100Leaves_TMC_last.pt,477.0,0.7395833333333334,20.374180793762207,0.74375,checkpoints\100Leaves_TMC_best.pt,85.63142323493958,TMC (ours),OK,,
3Sources,3.0,6.0,"[3560, 3631, 3068]",135.0,21.0,34.0,"{0: 0.7555555701255798, 1: 0.7111111283302307, 2: 0.7333333492279053}",3.1435158252716064,5.436594486236572,0.8529411764705882,checkpoints\3Sources_TMC_last.pt,406.0,0.8571428571428571,5.639195919036865,0.8235294117647058,checkpoints\3Sources_TMC_best.pt,21.860945224761963,TMC (ours),OK,,
ACM,5.0,3.0,"[1870, 3025, 3025, 3025, 3025]",2420.0,363.0,605.0,"{0: 0.905371904373169, 1: 0.7805784940719604, 2: 0.7066115736961365, 3: 0.7462809681892395, 4: 0.3508264422416687}",4.637369806116277,5.169628620147705,0.9404958677685951,checkpoints\ACM_TMC_last.pt,393.0,0.9641873278236914,5.212427139282227,0.947107438016529,checkpoints\ACM_TMC_best.pt,334.4902765750885,TMC (ours),OK,,
ALOI,4.0,100.0,"[77, 13, 64, 125]",8640.0,1296.0,2160.0,"{0: 0.04027777910232544, 1: 0.018171295523643494, 2: 0.2638888955116272, 3: 0.3523148000240326}",24.349344872139596,24.449846441095527,0.5712962962962963,checkpoints\ALOI_TMC_last.pt,488.0,0.5771604938271605,24.464222474531695,0.5703703703703704,checkpoints\ALOI_TMC_best.pt,811.8460562229156,TMC (ours),OK,,
BBC4view,,,,,,,,,,,,,,,,,0.05958747863769531,TMC (ours),FAILED,"TypeError: Expecting miMATRIX type here, got 2119843088",
BBCSport,2.0,5.0,"[3183, 3203]",435.0,66.0,109.0,"{0: 0.8459770083427429, 1: 0.8528735637664795}",2.197211980819702,3.2941031455993652,0.9541284403669725,checkpoints\BBCSport_TMC_last.pt,249.0,0.9696969696969697,4.067519187927246,0.9357798165137615,checkpoints\BBCSport_TMC_best.pt,38.70549249649048,TMC (ours),OK,,
Caltech101-7,6.0,7.0,"[48, 40, 254, 1984, 512, 928]",1179.0,177.0,295.0,"{0: 0.5411365628242493, 1: 0.5428329110145569, 2: 0.804919421672821, 3: 0.9160305261611938, 4: 0.8346055746078491, 5: 0.8388465046882629}",8.122503678003946,8.59540605545044,0.9389830508474576,checkpoints\Caltech101-7_TMC_last.pt,351.0,0.9548022598870056,8.982280254364014,0.9254237288135593,checkpoints\Caltech101-7_TMC_best.pt,198.9732050895691,TMC (ours),OK,,
CiteSeer,2.0,6.0,"[3312, 3703]",2649.0,398.0,663.0,"{0: 0.6221215724945068, 1: 0.7270668148994446}",3.544773598512014,5.082911252975464,0.7315233785822021,checkpoints\CiteSeer_TMC_last.pt,439.0,0.8040201005025126,5.094265103340149,0.7300150829562594,checkpoints\CiteSeer_TMC_best.pt,185.93137383460999,TMC (ours),OK,,
Cora,4.0,7.0,"[2708, 1433, 2706, 2706]",2166.0,325.0,542.0,"{0: 0.7359187602996826, 1: 0.7091412544250488, 2: 0.47137579321861267, 3: 0.46860572695732117}",8.384531497955322,9.772462209065756,0.7970479704797048,checkpoints\Cora_TMC_last.pt,471.0,0.8492307692307692,9.834688186645508,0.7933579335793358,checkpoints\Cora_TMC_best.pt,273.194705247879,TMC (ours),OK,,
Handwritten,6.0,10.0,"[216, 76, 64, 6, 240, 47]",1600.0,240.0,400.0,"{0: 0.8687499761581421, 1: 0.10437499731779099, 2: 0.2318750023841858, 3: 0.16750000417232513, 4: 0.9350000023841858, 5: 0.36625000834465027}",13.93993159702846,14.050312042236328,0.9775,checkpoints\Handwritten_TMC_last.pt,397.0,0.9708333333333333,14.47282075881958,0.975,checkpoints\Handwritten_TMC_best.pt,239.24909353256226,TMC (ours),OK,,
